"year","doy","hour","zen","direct_n","diffuse","par","temp","rh","windspeed","pressure","zen_clean","direct_n_clean","diffuse_clean","par_clean","temp_clean","rh_clean","windspeed_clean","pressure_clean"
1996,7,14,62.863,192.09,NA,179.43,-8.625,93.265,11.18,997.74,62.863,192.09,NA,179.43,-8.625,93.265,11.18,997.74
1996,7,15,65.749,113.775,NA,160.66,-8.295,92.6,11.605,997.285,65.749,113.775,NA,160.66,-8.295,92.6,11.605,997.285
1996,7,16,71.2845,193.53,NA,116.21,-8.295,84.505,11.86,997.33,71.2845,193.53,NA,116.21,-8.295,84.505,11.86,997.33
1996,7,17,78.881,79.025,NA,58.405,-8.835,82.9,10.945,997.755,78.881,79.025,NA,58.405,-8.835,82.9,10.945,997.755
1996,7,18,87.9025,87.93,NA,11.125,-10.07,79.965,11.91,998.11,87.9025,87.93,NA,11.125,-10.07,79.965,11.91,998.11
1996,7,19,98.314,-0.185,NA,-0.36,-10.81,78.12,10.7,998.305,98.314,-0.185,NA,-0.36,-10.81,78.12,10.7,998.305
1996,7,20,109.212,-0.2,NA,-0.395,-11.49,78.4,10.04,998.465,109.212,-0.2,NA,-0.395,-11.49,78.4,10.04,998.465
1996,7,21,120.5225,-0.035,NA,-0.385,-12.07,79.215,10.025,998.69,120.5225,-0.035,NA,-0.385,-12.07,79.215,10.025,998.69
1996,7,22,131.968,0.025,NA,-0.34,-12.275,80,9.785,998.54,131.968,0.025,NA,-0.34,-12.275,80,9.785,998.54
1996,7,23,143.192,-0.19,NA,-0.32,-12.83,80.165,8.62,998.495,143.192,-0.19,NA,-0.32,-12.83,80.165,8.62,998.495
1996,8,0,153.44,-0.055,NA,-0.34,-13.46,80.305,7.895,998.92,153.44,-0.055,NA,-0.34,-13.46,80.305,7.895,998.92
1996,8,1,160.663,-0.03,NA,-0.34,-13.89,80.15,7.55,998.785,160.663,-0.03,NA,-0.34,-13.89,80.15,7.55,998.785
1996,8,2,161.043,-0.34,NA,-0.335,-14.39,79.2,5.67,998.015,161.043,-0.34,NA,-0.335,-14.39,79.2,5.67,998.015
1996,8,3,154.2905,0.255,NA,-0.4,-14.8,77.905,6.28,998.225,154.2905,0.255,NA,-0.4,-14.8,77.905,6.28,998.225
1996,8,4,144.2065,0.17,NA,-0.37,-14.5,73.075,6.66,998.595,144.2065,0.17,NA,-0.37,-14.5,73.075,6.66,998.595
1996,8,5,133.0265,-0.6,NA,-0.395,-15.01,69.96,3.895,998.04,133.0265,-0.6,NA,-0.395,-15.01,69.96,3.895,998.04
1996,8,6,121.575,-0.84,NA,-0.4,-16.55,71.88,2.94,997.22,121.575,-0.84,NA,-0.4,-16.55,71.88,2.94,997.22
1996,8,7,110.2335,-0.495,NA,-0.42,-18.065,73.92,3.585,997.075,110.2335,-0.495,NA,-0.42,-18.065,73.92,3.585,997.075
1996,8,8,99.276,-0.27,NA,-0.43,-19.045,79.48,2.985,997.255,99.276,-0.27,NA,-0.43,-19.045,79.48,2.985,997.255
1996,8,9,88.754,120.45,NA,8.235,-19.14,82.955,3.35,997.555,88.754,120.45,NA,8.235,-19.14,82.955,3.35,997.555
1996,8,10,79.611,711.04,NA,73.02,-17.965,83.36,3.575,997.07,79.611,711.04,NA,73.02,-17.965,83.36,3.575,997.07
1996,8,11,71.8365,654.125,NA,128.235,-16.285,82.385,3.535,997.01,71.8365,654.125,NA,128.235,-16.285,82.385,3.535,997.01
1996,8,12,66.061,691.095,NA,183.72,-14.025,79.34,4.005,996.575,66.061,691.095,NA,183.72,-14.025,79.34,4.005,996.575
1996,8,13,62.887,21.955,NA,180.9,-12.615,78.37,6.09,995.875,62.887,21.955,NA,180.9,-12.615,78.37,6.09,995.875
